item,date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
1,2014-02,972,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0,135.0,14.0,12.0,-19.0,155.0,-66.0,2.0,-176.0
1,2014-03,981,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0,135.0,14.0,12.0,-19.0,155.0,-66.0,2.0
1,2014-04,996,15.0,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0,135.0,14.0,12.0,-19.0,155.0,-66.0
1,2014-05,991,-5.0,15.0,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0,135.0,14.0,12.0,-19.0,155.0
1,2014-06,1130,139.0,-5.0,15.0,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0,135.0,14.0,12.0,-19.0
1,2014-07,1044,-86.0,139.0,-5.0,15.0,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0,135.0,14.0,12.0
1,2014-08,1105,61.0,-86.0,139.0,-5.0,15.0,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0,135.0,14.0
1,2014-09,1194,89.0,61.0,-86.0,139.0,-5.0,15.0,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0,135.0
1,2014-10,1311,117.0,89.0,61.0,-86.0,139.0,-5.0,15.0,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0,86.0
1,2014-11,1345,34.0,117.0,89.0,61.0,-86.0,139.0,-5.0,15.0,9.0,-166.0,161.0,-7.0,70.0,-102.0,-330.0,-44.0,69.0,-68.0,51.0,139.0,-59.0,-21.0,22.0,-85.0,69.0,-113.0,62.0,-100.0,-72.0,66.0,-37.0,-20.0,-111.0,-51.0,-33.0,89.0,45.0,-17.0,5.0,31.0,59.0,16.0,26.0,5.0,39.0,58.0,-6.0,-47.0,-43.0,273.0,-11.0,26.0,-48.0
