item,date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
7,2014-02,2688,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0,194.0,-12.0,40.0,9.0,298.0,-142.0,42.0,-259.0
7,2014-03,2714,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0,194.0,-12.0,40.0,9.0,298.0,-142.0,42.0
7,2014-04,2762,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0,194.0,-12.0,40.0,9.0,298.0,-142.0
7,2014-05,2809,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0,194.0,-12.0,40.0,9.0,298.0
7,2014-06,3015,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0,194.0,-12.0,40.0,9.0
7,2014-07,2868,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0,194.0,-12.0,40.0
7,2014-08,2816,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0,194.0,-12.0
7,2014-09,3216,400.0,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0,194.0
7,2014-10,3587,371.0,400.0,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0,394.0
7,2014-11,3591,4.0,371.0,400.0,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0,29.0
7,2014-12,3618,27.0,4.0,371.0,400.0,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0,-195.0
7,2014-13,3541,-77.0,27.0,4.0,371.0,400.0,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0,147.0
7,2014-14,4114,573.0,-77.0,27.0,4.0,371.0,400.0,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0,537.0
7,2014-15,4197,83.0,573.0,-77.0,27.0,4.0,371.0,400.0,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0,-63.0
7,2014-16,4194,-3.0,83.0,573.0,-77.0,27.0,4.0,371.0,400.0,-52.0,-147.0,206.0,47.0,48.0,26.0,-495.0,597.0,106.0,-105.0,52.0,-819.0,-179.0,-130.0,56.0,151.0,56.0,43.0,-59.0,-12.0,-154.0,22.0,-38.0,-87.0,-220.0,13.0,107.0,-54.0,-215.0,-303.0,-58.0,-79.0,145.0,156.0,38.0,23.0,51.0,105.0,46.0,61.0,19.0,15.0,229.0,-38.0,30.0
